"'title'","'href'","'artist"'
"'Crazy in Love'","'/track/7jOvEsDIjHRH0LwCkwZSHS'","'Sofia Karlberg"'
"'Crazy In Love (feat. Jay-Z)'","'/track/5IVuqXILoxVWvWEPm82Jxr'","'Beyoncé"'
"'I'm Good (Blue)'","'/track/4uUG5RXrOk84mYEfFvj3cK'","'David Guetta"'
"'Facile'","'/track/5DPmVIialQzVljzeuBksmM'","'Camélia Jordana"'
"'Le blues du businessman - Remastered'","'/track/7xuv8xakMFJWNiZo0QrekL'","'Claude Dubois"'
"'Remember Me'","'/track/5igLjsd3WmtxBk0h04sadG'","'Alyssa & Gia"'
"'Remember Me - Original Mix'","'/track/0nhu2tp9FXwTu8kUDvS0xO'","'Blue Boy"'
"'Noboody Has to Know'","'/track/3Xgpib7uFnh048uvcZDk3P'","'Spain"'
"'Living Next Door to Alice'","'/track/57TaM8GozkJBz90xvQ1xME'","'Smokie"'
"'Parce que c'est toi'","'/track/2GSdDPQZPIoy0nPSzY7iXr'","'Axelle Red"'
"'Sensualité'","'/track/6ri4yWOtcfGpTcigL2YeBe'","'Axelle Red"'
"'Locked out of Heaven'","'/track/3w3y8KPTfNeOKPiqUTakBh'","'Bruno Mars"'
"'Combien de temps'","'/track/60sIIEFcvCkX0oAzp1bKoX'","'Stephan Eicher"'
"'Maldòn - Version originale'","'/track/6YoBe1FqFL5w10bQbemW16'","'Zouk Machine"'
"'Ils sont fous ces humains !'","'/track/6C7mfquUXYvn6Oc0E5wsPN'","'-M-"'
"'La Jument De Michao'","'/track/7D2Lw7ZMCacUcP1xixxynx'","'Tri Yann"'
"'Santiano'","'/track/5xacwJHf9yLJKCn5JjSiRz'","'Hugues Aufray"'
"'Dès que le vent soufflera'","'/track/66oUD4UVvC2DsPaKzw8sJy'","'Renaud"'
"'Just the Two of Us'","'/track/1azUNAvAW12SMACOUzMgZz'","'Yann Muller"'
"'#5 All the shit that I've done'","'/track/6GKmcysr4qCXl81xQyXEe7'","'Big Bad Pinto"'
"'Complicated'","'/track/5xEM5hIgJ1jjgcEBfpkt2F'","'Avril Lavigne"'
"'Should I Stay or Should I Go - Remastered'","'/track/39shmbIHICJ2Wxnk1fPSdz'","'The Clash"'
